2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 136, TR Total: 3236.7736, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 137, TR Total: 1597.8016, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 138, TR Total: 1597.8016, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 139, TR Total: 1597.8016, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 140, TR Total: 1597.8016, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 141, TR Total: 1597.8016, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 142, TR Total: 21748.3448, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 143, TR Total: 897.7352, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 144, TR Total: 22705.1370, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 145, TR Total: 291.0915, SC: 26
2016-09-03 16:36:03 2016-6 tickets: Page 14: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 149, TR Total: 6239.0858, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 150, TR Total: 1520.6548, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 151, TR Total: 34930.9800, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 152, TR Total: 21831.8625, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 153, TR Total: 22414.0455, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 154, TR Total: 887.0504, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 155, TR Total: 1586.6610, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 156, TR Total: 1520.6548, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 157, TR Total: 2111.3504, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 159, TR Total: 1520.6548, SC: 26
2016-09-03 16:36:03 2016-6 tickets: Page 15: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 160, TR Total: 6945.6712, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 161, TR Total: 1177.5328, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 162, TR Total: 2181.7952, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 163, TR Total: 1951.8204, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 165, TR Total: 3475.1782, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 166, TR Total: 1951.8204, SC: 26
